x_H_1,x_H_2,xt,x_G
0.090665765,0.37277618,0.13437766,0.40218043
0.090875916,0.37204805,0.136467,0.4006091
0.08863053,0.38107118,0.13585187,0.39444634
0.08617306,0.38002515,0.13436413,0.39943776
0.087827265,0.37993702,0.1354781,0.39675766
0.09720128,0.37789315,0.131129,0.3937766
0.10184199,0.37234494,0.12845409,0.39735898
0.09860641,0.37658298,0.1296271,0.3951836
0.094485275,0.3771147,0.13302745,0.39537254
0.09053115,0.3728789,0.13198908,0.4046009
0.08775023,0.37620074,0.13076681,0.4052822
0.08752371,0.37676218,0.12897527,0.4067388
0.087904476,0.3829631,0.12845749,0.40067482
0.08649219,0.3843651,0.12784085,0.40130192
0.09433581,0.3653657,0.1330704,0.4072281
0.09870325,0.35866722,0.12998334,0.4126461
0.10122734,0.36558652,0.12527044,0.40791574
0.09823697,0.36477697,0.12790176,0.4090842
0.099953786,0.36251923,0.12612243,0.41140446
0.097651035,0.3673167,0.12616606,0.4088661
0.09777543,0.36744046,0.1256976,0.40908644
0.09989387,0.36867386,0.12230984,0.4091225
0.09858923,0.36664674,0.12009499,0.41466904
0.09847615,0.36550403,0.11734647,0.41867337
0.10030768,0.36392134,0.12064413,0.41512692
0.09895554,0.368881,0.12088279,0.41128054
0.09582678,0.36870146,0.12242622,0.41304547
0.09447803,0.3635555,0.123077646,0.4188889
0.09642064,0.3623797,0.123525426,0.41767427
0.09872105,0.35889298,0.120207205,0.4221788
0.09764829,0.35526058,0.1243888,0.4227023
0.09645986,0.36154762,0.12417411,0.41781837
0.09616651,0.36678344,0.12424637,0.4128038
0.09340405,0.36275175,0.12268851,0.42115578
0.097311094,0.3575137,0.1251088,0.42006648
0.093857855,0.3625324,0.12685536,0.4167544
0.09216186,0.36829525,0.124294125,0.41524875
0.09410431,0.36532545,0.12336487,0.41720533
0.094019085,0.3654234,0.12429243,0.41626513
0.09620552,0.36964685,0.122756824,0.41139093
0.091676764,0.37004533,0.12149497,0.4167829
0.0901454,0.37151244,0.122224614,0.4161175
0.091513924,0.3728411,0.12413205,0.41151288
0.090959795,0.3719139,0.12255049,0.41457573
0.08890289,0.3719732,0.12312234,0.41600153
0.08696283,0.37254092,0.12150186,0.41899452
0.089785255,0.37308943,0.12126974,0.41585562
0.08965073,0.3738339,0.1213653,0.41515005
0.08833223,0.38253215,0.11807521,0.41106045
0.08699811,0.37584943,0.1183612,0.4187913
0.0828604,0.37526372,0.118140735,0.42373514
0.08440672,0.3755959,0.11885924,0.42113814
0.08745309,0.3735359,0.11647066,0.4225404
0.08922676,0.37389347,0.11753266,0.41934705
0.086537585,0.3748172,0.11916396,0.41948128
0.08571888,0.3744804,0.11893639,0.4208645
0.085927874,0.37723556,0.119939305,0.4168972
0.08659435,0.37784562,0.117883004,0.41767702
0.08575302,0.37489727,0.11983744,0.4195123
0.08639837,0.3773266,0.1176052,0.4186698
0.08664424,0.37742373,0.118412204,0.41751987
0.0827747,0.37486127,0.11660814,0.42575598
0.0842442,0.37703192,0.11650775,0.42221606
0.083123274,0.37991765,0.116374195,0.42058486
0.08140556,0.38179764,0.1150913,0.42170554
0.08388568,0.38260588,0.11570509,0.41780335
0.08225931,0.38122198,0.11296368,0.42355508
0.085701205,0.38418898,0.114788935,0.4153208
0.08409061,0.38205692,0.11347732,0.42037523
0.07957591,0.3819356,0.11445429,0.42403424
0.079532124,0.38628718,0.11175362,0.42242712
0.07848615,0.38634822,0.111678496,0.4234872
0.08030027,0.38710597,0.11037087,0.42222294
0.09065259,0.39027205,0.10633824,0.4127371
0.0874758,0.38723984,0.107504666,0.41777965
0.08299296,0.3868078,0.1057564,0.4244428
0.08234606,0.3873482,0.10555369,0.42475215
0.080903985,0.38502213,0.107449524,0.42662427
